OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,Median Age
55,55,22,043,GLADES,Glades,FL,647,9,33,69,131,150,98,73,40,36,7,1,0 to 90,39,243,403,1,647,0,0,68,349,3,439,6,456,191,0,0,647,454,2,0,0,134,322,0,456,6,17,49,105,124,76,53,11,12,3,0,0 to 89,38,334,79,25,18,192,240,24,53,0,37,0,0,3,456,322,134,456,0,0,808,0,1265,808,456,3,280,221,2551976411.00452,236757.936928168,db14356a-7e77-445a-a524-193dac2519e8,2,14,16,0.125,38
56,56,8,015,CHARLOTTE,Charlotte,FL,7645,83,105,499,705,783,1094,1440,1385,920,625,6,0 to 119,58,4360,3229,56,7623,22,0,970,5280,62,2408,56,2677,4959,1,8,7614,2439,232,5,1,1400,1262,9,2671,24,60,279,296,290,393,477,393,262,203,0,0 to 101,54,2074,165,219,213,215,2147,309,322,1,331,1,0,110,2677,1264,1403,2671,6,0,26896,16,29624,26912,2677,110,360,341,1825525431.11919,398247.923422686,2c59a1cc-d054-4df6-bef0-43eec4a23784,22,479,501,0.0439121756487026,54
57,57,58,115,SARASOTA,Sarasota,FL,19882,234,454,1726,2278,2206,2643,3319,3414,2355,1184,69,0 to 119,56,10932,8678,272,19603,279,0,1032,17053,190,3469,124,7207,12659,1,15,19588,7063,83,54,7,3721,3259,166,7146,82,261,1091,1188,1063,1051,925,692,486,340,28,0 to 104,43,3087,455,650,2954,778,2769,3599,491,18,467,12,2,202,7207,3295,3746,7146,61,0,76368,219,83850,76587,7207,202,1318,1213,1509311882.53409,264158.506465067,63cf7f11-0e2e-4c45-8079-812f07405f88,19,564,583,0.032590051457976,43
58,58,14,027,DESOTO,Desoto,FL,3743,101,236,402,567,584,629,611,351,182,76,4,0 to 102,44,1540,2094,109,3730,13,0,213,2295,48,1461,29,1489,2247,1,6,3723,1353,133,3,0,604,879,3,1486,43,125,208,289,282,229,178,89,33,13,0,0 to 97,37,909,152,104,321,699,419,368,217,1,111,1,0,22,1489,880,606,1486,3,0,8793,10,10299,8803,1489,22,1465,1332,1654926851.96404,168390.780925558,0d73423d-03c5-4ba5-9bfd-c106f87eb222,11,68,79,0.139240506329114,37
59,59,18,035,FLAGLER,Flagler,FL,5317,93,138,410,557,648,758,971,925,564,245,8,0 to 119,55,3078,2189,50,5274,43,0,434,3845,37,1150,72,1312,3997,0,8,5266,1155,144,13,0,718,577,4,1299,22,66,178,180,169,208,204,165,89,30,1,0 to 94,47,727,203,278,91,205,977,117,177,5,108,3,1,15,1312,583,725,1299,13,0,16008,30,17366,16038,1312,15,1561,1526,1294754947.55994,220559.838719988,0e4d3c2d-fb56-4a06-8b04-3ad9bff072bc,2,72,74,0.027027027027027,47
60,60,26,051,HENDRY,Hendry,FL,3986,143,241,584,713,649,580,493,288,169,119,7,0 to 104,39,1966,2011,9,3982,4,0,473,1775,32,1841,40,1975,2010,1,0,3981,1921,52,2,0,906,1065,2,1973,62,132,320,390,352,298,209,121,58,33,0,0 to 101,37,1563,228,83,99,1335,556,82,316,0,173,0,0,39,1975,1066,907,1973,2,0,7281,2,9277,7283,1975,39,2618,2191,3080878042.06929,290231.154940413,71664f0e-3199-410f-ad8c-5269ffa55669,6,87,93,0.0645161290322581,37
61,61,31,061,INDIAN RIVER,Indian River,FL,8644,132,260,818,947,934,1115,1318,1354,978,773,15,0 to 119,56,5124,3478,42,8568,76,0,518,5798,77,2984,125,2835,5756,0,53,8517,2798,18,17,2,1519,1277,20,2816,51,149,433,433,385,395,349,252,209,178,1,0 to 101,44,1384,353,318,761,597,1290,929,446,7,251,3,0,98,2835,1290,1525,2816,19,0,27965,55,30869,28020,2835,98,2455,1979,1319798862.49319,234087.653130679,193731ca-a50a-4707-8eb3-d6585d669c9c,2,154,156,0.0128205128205128,44
62,62,6,011,BROWARD,Broward,FL,166134,4149,7042,16956,26654,26369,27719,26912,16908,8688,4507,230,0 to 119,45,89508,75437,1189,164341,1793,0,12291,108780,2336,59689,1684,71121,94870,33,110,164202,65460,5093,530,38,36869,33551,133,70553,1541,3924,10268,13607,12235,11550,9505,4797,2377,1282,35,0 to 119,39,29104,19000,8854,13595,26534,30970,13049,9602,97,5293,76,26,1184,71121,33922,37065,70553,568,0,428558,1235,501811,429793,71121,1184,32949,32581,3142374056.01305,291881.846057183,4ac0d3a0-87b8-4126-9cf4-96dc2d84d1c4,182,4199,4381,0.0415430267062315,39
63,63,17,033,ESCAMBIA,Escambia,FL,27361,571,837,3114,4228,3531,3689,4495,3595,2060,1124,117,0 to 119,48,15461,11768,132,23814,3547,0,1640,21535,183,5023,298,11183,16173,1,4,23809,10089,92,1002,0,5148,4939,94,10181,143,409,1882,2145,1689,1483,1450,997,629,332,24,0 to 105,39,3954,2389,984,2854,361,6570,3250,1216,13,746,10,12,186,11183,5373,5716,10181,1002,0,68621,2646,82508,71267,11183,186,1259,1180,1767890300.40206,439974.169549806,3780c858-9510-4a33-a345-0acd39c89bb6,23,223,246,0.0934959349593496,39
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2819,68,155,428,384,379,364,412,251,214,152,12,0 to 119,44,1530,1272,17,2807,12,0,374,1494,2,1113,18,1243,1574,0,2,2805,1169,70,4,0,598,638,3,1239,36,100,221,188,207,166,177,65,60,22,1,0 to 94,38,847,131,165,96,568,562,109,174,1,129,3,0,15,1243,639,601,1239,4,0,8639,8,9905,8647,1243,15,1235,1154,2307690905.70045,272539.677334045,dd469486-5ba8-475c-9ddc-a21cc360caec,4,23,27,0.148148148148148,38
65,65,19,037,FRANKLIN,Franklin,FL,1190,19,61,108,187,172,160,210,165,90,18,0,0 to 95,48,499,688,3,1183,7,0,35,541,0,579,25,544,643,0,3,1180,530,10,4,0,120,420,0,540,5,20,51,142,111,79,85,33,16,2,0,0 to 85,39,309,216,8,7,45,438,57,17,0,7,0,0,3,544,421,123,540,4,0,4040,3,4592,4043,544,3,315,314,1445840682.56789,446544.245992026,9f12dff3-9143-493b-867b-127f2b6bff20,2,11,13,0.153846153846154,39
66,66,1,001,ALACHUA,Alachua,FL,19790,310,430,2811,3777,2826,2718,2997,2178,1036,635,72,0 to 119,43,11299,8341,150,19480,310,0,1353,16594,61,3202,160,5196,14572,5,17,19458,4958,174,52,12,2800,2313,19,5132,91,221,1315,1123,664,612,548,369,162,84,7,0 to 103,33,1823,1590,612,1107,612,3155,1365,611,15,309,16,1,33,5196,2349,2827,5132,64,0,79162,249,84638,79411,5196,33,354,332,2510756491.26947,272135.471452184,9eddb8fb-00dd-45f1-a09d-8e689049e28a,5,277,282,0.0177304964539007,33
67,67,55,109,ST. JOHNS,St. Johns,FL,14809,198,507,1781,1679,2163,2453,2468,1999,1048,492,21,0 to 119,49,8004,6593,212,14725,84,0,1073,10600,208,3375,382,4332,10422,10,45,14671,3937,330,60,5,2186,2026,55,4267,40,150,943,595,634,688,632,352,192,104,2,0 to 101,42,2946,351,261,709,343,3083,841,375,5,232,5,0,57,4332,2055,2216,4267,65,0,42363,146,46871,42509,4332,57,3784,3744,1658206648.51031,344848.248220385,8c0a9f2c-c490-4bbc-9e26-85b6f4aefeb1,9,320,329,0.027355623100304,42
69,68,999,999,Unknown,Unknown,FL,2412,18,34,270,351,344,359,320,200,239,252,25,0 to 119,49,1432,936,44,574,1838,0,5,2060,0,43,25,1000,1409,0,3,572,248,2,743,7,114,124,12,250,16,28,176,195,170,155,138,60,33,7,22,0 to 82,36,61,37,43,109,76,56,118,0,8,0,4,2,0,1000,473,491,250,750,0,6819,1090,8943,7909,1000,0,7803,7801,,,d1373507-e2bb-431d-a2f9-63f6067c627a,0,177,177,0,36
70,69,998,998,A State,State,FL,1486391,26531,47067,155995,228885,217408,232709,234775,176437,101994,50628,13962,0 to 225,47,800873,672749,12769,1467345,19038,8,104977,1116417,0,352780,12563,623471,859064,384,3472,1463530,594423,22206,6603,239,315296,297243,4090,616629,10621,25641,92870,117282,102073,99761,81542,47636,27536,16059,2450,0 to 120,41,261669,96288,79481,179191,176934,234308,205387,64656,706,38495,447,144,11187,623471,300715,318529,616621,6842,8,3979430,12638,4622552,3992068,623471,11187,200795,187863,,,e2d719ef-85bc-44e7-84ed-af74ad1ec87d,1916,32933,34849,0.0549800568165514,41
