County,State,PUIsTotal,PUIAge_0_4,PUIAge_5_14,PUIAge_15_24,PUIAge_25_34,PUIAge_35_44,PUIAge_45_54,PUIAge_55_64,PUIAge_65_74,PUIAge_75_84,PUIAge_85plus,PUIAge_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,PUI_TPositive,PUI_TNegative,PUI_TInconc,PUI_TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,Date,Region
'Levy','FL','2388','56','81','279','308','265','349','420','326','218','83','3','0 to 118','50','1362','1009','17','2383','5','0','155','1539','16','863','16','645','1742','0','1','2382','595','46','1','3','315','324','2','641','16','32','122','102','83','109','82','59','30','8','2','0 to 99','40','308','106','150','77','182','355','104','57','0','34','0','0','4','645','327','316','641','4','0','5385','1','6040','5386','645','4','08/06/2020','Rest of Florida'
'Sumter','FL','4923','34','67','184','253','276','404','668','1691','1089','172','85','0 to 119','68','2490','2282','151','4843','80','0','326','3847','164','1036','120','1208','3692','0','23','4820','1089','111','7','1','565','631','4','1200','6','33','95','79','122','147','174','310','195','47','0','1 to 99','62','677','191','66','266','64','838','298','275','1','174','0','0','40','1208','634','570','1200','8','0','15878','73','17172','15951','1208','40','08/06/2020','Rest of Florida'
'Seminole','FL','23249','356','638','2611','3374','3229','3578','3542','2905','1429','741','846','0 to 119','47','13029','10009','211','23189','60','0','1008','19544','246','2680','147','6932','16256','1','60','23131','6836','69','27','0','3701','3129','75','6905','121','227','1377','1400','1036','1031','751','474','272','240','3','0 to 104','38','2747','743','845','2570','960','2277','3668','694','5','445','1','0','109','6932','3141','3713','6905','27','0','59735','35','66766','59770','6932','109','08/06/2020','Rest of Florida'
'Orange','FL','90694','1611','2294','10113','15766','14281','14158','13151','8841','4232','1664','4583','0 to 120','44','48717','41253','724','89341','1352','1','3088','82213','585','8883','521','30776','59493','2','423','88918','30233','151','387','5','15285','14715','384','30384','469','845','5690','7464','5489','4591','3295','1647','861','382','43','0 to 106','36','7079','4081','5090','14134','5089','6770','18525','1697','53','904','42','5','275','30776','14917','15466','30383','392','1','233432','984','265468','234416','30776','275','08/06/2020','Orlando Region'
'Citrus','FL','5709','56','134','453','602','565','732','1039','1120','750','243','15','0 to 222','58','3189','2364','156','5699','10','0','320','3947','119','1354','44','1429','4247','1','32','5667','848','578','2','1','739','679','8','1426','12','38','199','175','164','222','267','173','119','54','6','0 to 100','51','1088','99','105','134','75','1164','187','108','0','137','0','0','36','1429','681','740','1426','3','0','16371','7','17818','16378','1429','36','08/06/2020','Rest of Florida'
'Hernando','FL','5829','101','138','575','793','728','849','976','763','551','345','10','0 to 102','52','3469','2344','16','5801','28','0','554','4027','66','2084','60','1906','3920','1','2','5798','1606','286','12','2','1044','844','4','1892','24','65','267','311','261','287','264','203','132','86','6','0 to 100','45','1386','213','240','53','345','1412','135','359','2','239','2','1','42','1906','848','1054','1892','14','0','16461','14','18395','16475','1906','42','08/06/2020','Rest of Florida'
'Pinellas','FL','52399','565','993','4471','7351','6412','7634','9434','7968','4813','2670','88','0 to 120','53','29761','22560','78','52009','390','0','4636','40571','411','15882','544','17358','35018','1','22','51987','17046','192','113','7','9253','7976','9','17238','237','596','2527','3448','2402','2515','2438','1518','972','696','9','0 to 104','42','8673','2952','1398','4215','1820','10280','5138','2247','29','1619','21','2','469','17358','8040','9309','17238','120','0','150479','273','168246','150752','17358','469','08/06/2020','Tampa Bay Region'
'Suwannee','FL','3162','98','152','345','410','417','392','465','376','276','220','11','0 to 118','48','1886','1211','65','3145','17','0','115','2048','110','1195','29','1302','1858','0','2','3143','1136','149','14','3','695','582','8','1285','42','96','193','170','197','170','148','113','99','73','1','0 to 102','42','676','165','237','207','348','675','262','199','2','99','0','0','38','1302','588','706','1285','17','0','5887','0','7201','5887','1302','38','08/06/2020','Rest of Florida'
'Duval','FL','69051','1136','2038','7813','12441','10410','10498','11022','7723','3870','1958','142','-6 to 119','45','37595','30634','822','68281','770','0','2123','60138','454','6214','275','22568','46299','13','171','68103','20724','1609','214','21','11737','10450','146','22333','313','915','3669','5224','3749','3322','2648','1558','738','417','15','0 to 103','37','5473','7287','2255','7318','1792','11014','9527','1225','29','653','15','6','165','22568','10576','11844','22333','235','0','181498','551','204834','182049','22568','165','08/06/2020','Jacksonville Region'
'Lafayette','FL','445','10','6','50','59','45','48','59','63','58','46','1','0 to 119','56','283','157','5','445','0','0','14','342','0','64','1','117','328','0','0','445','108','9','0','0','69','48','0','117','5','6','10','23','7','19','23','17','3','4','0','1 to 98','48','65','26','18','8','15','92','10','25','0','8','0','0','1','117','48','69','117','0','0','781','0','901','781','117','1','08/06/2020','Rest of Florida'
'Gulf','FL','1205','29','64','105','136','132','203','248','176','85','27','0','0 to 94','51','625','577','3','1143','62','0','81','600','1','421','22','490','715','0','0','1143','478','3','9','0','213','268','0','481','8','25','50','61','67','87','109','58','17','8','0','1 to 94','48','280','175','9','17','22','420','39','83','2','32','2','0','2','490','275','215','481','9','0','3419','55','3969','3474','490','2','08/06/2020','Rest of Florida'
'Union','FL','1400','17','37','102','107','140','164','444','295','78','16','0','0 to 118','58','424','970','6','1400','0','0','77','1137','4','276','5','244','1156','0','0','1400','165','79','0','0','97','147','0','244','6','11','42','37','31','22','59','28','6','2','0','0 to 91','43','167','61','12','4','10','224','10','31','0','23','0','0','4','244','147','97','244','0','0','3873','0','4122','3873','244','4','08/06/2020','Rest of Florida'
'Bradford','FL','1825','32','48','172','229','225','277','358','214','160','104','6','0 to 118','52','1077','727','21','1823','2','0','134','1382','34','463','2','378','1446','0','1','1822','279','99','0','0','173','205','0','378','6','13','48','43','61','64','72','32','26','13','0','0 to 107','47','223','97','18','40','10','312','56','39','0','27','0','0','4','378','205','173','378','0','0','3904','2','4290','3906','378','4','08/06/2020','Rest of Florida'
'Wakulla','FL','2014','30','74','193','279','308','341','357','259','128','44','1','0 to 102','49','995','1011','8','2006','8','0','72','1266','13','719','35','651','1359','0','4','2002','599','46','5','1','221','424','0','645','7','23','87','128','126','113','105','38','18','6','0','1 to 91','41','415','153','43','34','40','537','68','69','0','31','1','0','4','651','426','225','645','6','0','6889','2','7577','6891','651','4','08/06/2020','Rest of Florida'
'Brevard','FL','24683','306','484','2024','2762','2846','3476','5127','4390','2367','755','146','0 to 119','55','13853','10716','114','24656','27','0','1359','21266','107','4657','156','5794','18879','0','10','24646','5663','110','18','3','3072','2678','23','5773','59','148','1039','1006','846','845','813','498','306','234','0','0 to 110','42','3028','635','499','1611','750','3206','1817','894','6','447','3','0','134','5794','2688','3083','5773','21','0','75661','17','81531','75678','5794','134','08/06/2020','Rest of Florida'
'Polk','FL','31131','738','1202','3264','4735','4562','4551','4491','3858','2355','1028','347','0 to 119','47','17279','13528','324','31008','123','0','1888','24593','231','6093','242','13654','17426','1','50','30957','12203','1405','34','12','7170','6265','173','13608','270','671','2011','2588','2366','2037','1622','1076','640','356','17','0 to 103','40','6319','2334','1276','3679','3398','5375','4835','1763','11','1278','10','1','304','13654','6283','7198','13608','46','0','79823','78','93638','79901','13654','304','08/06/2020','Orlando Region'
'Osceola','FL','22127','312','814','2300','3595','3587','3729','3236','2296','1155','425','678','0 to 155','45','12042','9873','212','22015','112','0','2264','16551','390','3723','239','9286','12731','2','108','21906','9143','59','82','2','4770','4301','131','9202','128','408','1372','1891','1734','1625','1021','631','339','124','13','0 to 104','39','2744','468','2574','3416','3724','1489','3989','735','10','391','8','2','96','9286','4356','4796','9202','84','0','52310','28','61752','52338','9286','96','08/06/2020','Orlando Region'
'Highlands','FL','5064','95','130','325','594','517','620','780','836','735','412','20','0 to 119','58','2973','2057','34','4998','66','0','169','4021','47','1129','45','1328','3728','0','8','4990','1206','119','3','0','707','616','2','1325','25','47','147','210','182','201','208','133','119','56','0','0 to 98','48','751','218','193','163','363','742','220','295','2','153','1','0','34','1328','619','707','1325','3','0','14110','63','15514','14173','1328','34','08/06/2020','Rest of Florida'
'Lee','FL','39831','570','926','4030','5563','5427','5816','6220','5788','3694','1716','81','0 to 119','51','22256','17214','361','38668','1162','1','1615','33120','613','9759','248','16090','23712','2','27','38640','15126','671','286','7','8240','7358','199','15797','292','566','2514','2972','2591','2543','2036','1283','754','513','26','0 to 102','41','6511','1496','711','7079','3580','4848','7369','1858','20','1029','17','8','323','16090','7504','8377','15796','293','1','94812','928','111886','95740','16090','323','08/06/2020','Lee'
'Collier','FL','23954','605','1017','2739','3089','3262','3350','3389','3246','2388','831','38','0 to 105','48','12650','11010','294','23531','423','0','1557','16939','356','6891','222','10118','13626','3','207','23321','9569','405','128','16','5039','4815','120','9974','268','521','1704','1672','1704','1610','1228','718','468','224','1','0 to 104','40','4885','605','1001','3483','4062','2412','3500','1138','22','707','12','6','130','10118','4876','5082','9974','144','0','50721','288','61190','51009','10118','130','08/06/2020','Collier'
'Dade','FL','262371','3471','6341','26155','44986','42782','47426','41557','26215','14619','7993','826','0 to 225','46','135800','124774','1797','260526','1844','1','10518','223245','2785','30347','1173','127677','134368','91','235','260202','125299','1490','879','9','64125','61857','807','126789','1845','4083','16182','24085','21460','22987','17887','10038','5668','3201','241','0 to 108','43','45622','11330','11302','58535','51463','15004','60322','11776','69','6002','37','16','1784','127677','62292','64513','126788','888','1','532057','989','662388','533046','127677','1784','08/06/2020','South Florida'
'Monroe','FL','5572','102','149','463','811','819','956','1065','746','348','111','2','0 to 101','49','2860','2679','33','5477','95','0','1522','2588','83','1632','147','1438','4073','0','61','5418','1384','28','21','5','667','742','3','1412','31','56','173','278','255','260','190','120','60','15','0','0 to 100','42','819','73','62','458','446','483','483','211','5','92','4','0','13','1438','758','677','1412','26','0','11523','67','13040','11590','1438','13','08/06/2020','Rest of Florida'
'Santa Rosa','FL','10750','301','433','1261','1584','1593','1698','1654','1265','664','286','11','0 to 119','46','5486','5221','43','10662','88','0','529','7277','99','2881','179','3700','7033','0','17','10645','3588','84','28','0','1527','2131','14','3672','53','112','684','678','611','618','493','246','134','70','1','0 to 101','39','2136','489','195','852','150','2561','961','133','0','180','1','0','34','3700','2142','1544','3672','28','0','23797','60','27593','23857','3700','34','08/06/2020','Rest of Florida'
'Walton','FL','2979','67','98','421','401','429','437','470','321','193','139','3','0 to 101','46','1544','1397','38','2813','166','0','192','2310','15','1278','150','1323','1654','0','2','2811','1181','27','112','3','573','634','1','1208','17','54','309','216','217','182','185','77','53','13','0','0 to 101','38','946','77','54','131','242','842','124','169','17','62','3','0','15','1323','689','633','1208','115','0','7861','54','9279','7915','1323','15','08/06/2020','Rest of Florida'
'Jackson','FL','4688','56','107','431','849','818','814','693','431','290','193','6','0 to 105','46','1921','2695','72','4658','30','0','41','2910','19','1668','44','1797','2885','1','5','4652','1728','54','14','1','524','1247','11','1782','16','47','174','384','353','335','245','123','65','55','0','0 to 100','43','783','354','66','579','71','742','969','149','2','101','0','0','36','1797','1255','530','1782','15','0','9395','18','11220','9413','1797','36','08/06/2020','Rest of Florida'
'Washington','FL','1688','34','52','148','262','250','282','304','174','123','59','0','0 to 119','48','847','793','48','1675','13','0','50','1154','9','677','15','747','922','0','19','1656','656','82','8','1','261','451','26','738','9','25','80','162','126','132','107','56','39','11','0','0 to 99','42','337','142','20','239','13','350','375','48','2','42','1','0','14','747','454','267','738','9','0','4449','5','5216','4454','747','14','08/06/2020','Rest of Florida'
'Nassau','FL','4579','69','108','489','513','563','659','830','717','436','191','4','0 to 103','53','2529','1952','98','4414','165','0','225','3424','28','776','130','1184','3364','0','31','4384','1086','31','65','2','569','547','1','1117','17','33','240','165','182','186','176','113','49','23','0','0 to 95','42','740','117','53','207','56','824','237','155','6','71','1','0','11','1184','575','608','1117','67','0','13295','97','14593','13392','1184','11','08/06/2020','Rest of Florida'
'Glades','FL','577','9','23','61','120','141','84','65','37','30','6','1','0 to 90','39','208','368','1','577','0','0','59','340','3','388','0','398','179','0','0','577','396','2','0','0','106','292','0','398','6','10','43','96','116','65','45','10','5','2','0','0 to 89','38','286','76','22','14','167','208','23','42','0','27','0','0','3','398','292','106','398','0','0','700','0','1100','700','398','3','08/06/2020','Rest of Florida'
'Charlotte','FL','7123','80','87','448','657','717','1017','1349','1296','869','596','7','0 to 119','59','4058','2988','77','7100','23','0','619','5530','62','1569','41','2144','4968','1','10','7089','1918','219','6','1','1096','1016','25','2137','22','42','229','246','226','314','385','311','209','159','1','0 to 101','54','1549','124','118','346','165','1538','434','219','1','229','1','0','89','2144','1018','1100','2137','7','0','22936','16','25122','22952','2144','89','08/06/2020','Rest of Florida'
'Sarasota','FL','18635','221','395','1571','2138','2025','2441','3144','3264','2271','1107','58','0 to 119','56','10287','8098','250','18366','269','0','812','16485','190','2641','115','6025','12585','1','24','18344','5893','81','45','6','3130','2715','129','5974','71','212','951','1052','881','854','762','566','400','259','17','0 to 104','42','2366','354','499','2755','558','2083','3333','393','18','361','12','2','130','6025','2744','3152','5974','51','0','65468','222','71763','65690','6025','130','08/06/2020','Rest of Florida'
'Desoto','FL','3540','97','218','369','536','548','599','592','330','173','74','4','0 to 102','45','1459','1964','117','3527','13','0','178','2252','48','1302','23','1321','2212','2','5','3520','1185','133','3','0','544','771','3','1318','41','120','182','258','251','202','157','75','24','11','0','0 to 97','36','823','132','76','287','650','352','316','195','1','99','1','0','16','1321','772','546','1318','3','0','8073','13','9415','8086','1321','16','08/06/2020','Rest of Florida'
'Flagler','FL','4875','75','94','339','511','584','701','905','889','534','235','8','0 to 119','56','2833','1988','54','4835','40','0','335','3825','37','808','63','989','3880','0','6','4829','855','124','10','0','541','432','6','979','16','42','137','143','123','158','153','131','63','21','2','0 to 94','47','565','158','177','79','141','733','105','141','4','82','2','1','13','989','438','545','979','10','0','13434','30','14473','13464','989','13','08/06/2020','Rest of Florida'
'Hendry','FL','3669','134','212','534','660','593','525','461','264','164','115','7','0 to 104','39','1806','1850','13','3667','2','0','404','1753','32','1619','23','1709','1959','0','1','3666','1659','50','0','0','760','945','4','1709','56','111','279','349','307','254','175','98','51','29','0','0 to 101','37','1364','192','62','91','1169','462','78','272','0','149','0','0','37','1709','945','760','1709','0','0','6399','2','8126','6401','1709','37','08/06/2020','Rest of Florida'
