'OBJECTID', 'OBJECTID_12_13', 'DEPCODE', 'COUNTY', 'COUNTYNAME', 'County', 'State', 'PUIsTotal*', 'PUIAge_0_4*', 'PUIAge_5_14*', 'PUIAge_15_24*', 'PUIAge_25_34*', 'PUIAge_35_44*', 'PUIAge_45_54*', 'PUIAge_55_64*', 'PUIAge_65_74*', 'PUIAge_75_84*', 'PUIAge_85plus*', 'PUIAge_Unkn*', 'PUIAgeRange*', 'PUIAgeMedian*', 'PUIFemale*', 'PUIMale*', 'PUISexUnkn*', 'PUIFLRes*', 'PUINotFLRes*', 'PUIFLResOut*', 'PUIContNo*', 'PUIContUnkn*', 'PUIAgeAvrg*', 'PUITravelNo*', 'PUITravelYes*', 'PUI_TPositive*', 'PUI_TNegative*', 'PUI_TInconc*', 'PUI_TPending*', 'T_Total_Res', 'T_LabPrivate_Res', 'T_LabDOH_Res', 'T_LabPrivate_NonRes', 'T_LabDOH_NonRes', 'C_Female', 'C_Male', 'C_SexUnkn', 'C_AllResTypes', 'C_Age_0_4', 'C_Age_5_14', 'C_Age_15_24', 'C_Age_25_34', 'C_Age_35_44', 'C_Age_45_54', 'C_Age_55_64', 'C_Age_65_74', 'C_Age_75_84', 'C_Age_85plus', 'C_Age_Unkn', 'C_AgeRange', 'C_AgeMedian', 'C_RaceWhite', 'C_RaceBlack', 'C_RaceOther', 'C_RaceUnknown', 'C_HispanicYES', 'C_HispanicNO', 'C_HispanicUnk', 'C_EDYes_Res', 'C_EDYes_NonRes', 'C_HospYes_Res', 'C_HospYes_NonRes', 'C_NonResDeaths', 'C_FLResDeaths', 'CasesAll', 'C_Men', 'C_Women', 'C_FLRes', 'C_NotFLRes', 'C_FLResOut', 'T_NegRes', 'T_NegNotFLRes', 'T_total', 'T_negative', 'T_positive', 'Deaths', 'PUI_EverMon*', 'PUI_MonNow*', 'Shape__Area', 'Shape__Length', 'MedianAge', 'Date'
"50","50","57","113","SANTA ROSA","Santa Rosa","FL","6912","226","262","527","910","968","1034","1153","1041","543","238","10","0 to 119","50","3789","3096","27","6846","66","0","75","6625","99","225","58","273","6637","1","1","6844","229","40","4","0","83","186","0","269","3","3","24","51","47","53","39","32","12","9","0","0 to 98","46","194","43","5","27","15","207","47","27","0","26","0","0","9","273","186","87","269","4","0","9806","62","10143","9868","273","9","641","104","2596863920.94926","364280.718031263","49","06/11/2020"
"51","51","66","131","WALTON","Walton","FL","1625","50","36","100","168","207","241","285","245","158","132","3","0 to 101","55","906","682","37","1567","58","0","26","1493","15","163","39","142","1483","0","0","1567","101","23","15","3","73","51","0","124","3","6","11","17","25","17","27","17","13","6","0","1 to 101","49","112","9","2","1","28","93","3","24","5","20","2","0","9","142","58","84","124","18","0","2256","40","2442","2296","142","9","111","58","2708101782.46999","370154.781284707","49","06/11/2020"
"52","52","32","063","JACKSON","Jackson","FL","2997","24","31","237","513","514","522","472","309","229","140","6","0 to 105","48","1338","1564","95","2974","23","0","18","2611","19","290","22","315","2680","1","1","2972","269","37","8","1","63","243","0","306","2","6","29","76","72","61","48","15","5","1","0","0 to 87","40","124","128","19","35","29","172","105","35","2","20","0","0","1","315","247","68","306","9","0","3905","14","4242","3919","315","1","334","142","2452499072.79567","223828.324060307","36","06/11/2020"
"53","53","67","133","WASHINGTON","Washington","FL","898","12","15","54","95","109","140","194","126","98","55","0","0 to 119","56","533","343","22","892","6","0","30","750","9","119","12","87","810","0","1","891","67","18","2","0","44","41","0","85","0","2","4","9","8","7","20","15","15","7","0","9 to 99","60","41","14","0","30","1","52","32","5","0","15","0","0","8","87","41","46","85","2","0","1375","4","1467","1379","87","8","118","63","1594396648.51196","243766.072259733","54","06/11/2020"
"54","54","45","089","NASSAU","Nassau","FL","3231","44","51","225","326","368","445","621","596","381","170","4","0 to 103","57","1742","1292","197","3122","109","0","40","3131","28","64","29","86","3145","0","0","3122","65","13","6","2","41","37","0","78","0","1","13","15","15","11","9","13","6","3","0","14 to 89","44","60","13","2","3","1","74","3","26","1","16","0","0","1","86","40","46","78","8","0","4572","101","4760","4673","86","1","57","51","1641620662.32831","388721.737801268","49","06/11/2020"
"55","55","22","043","GLADES","Glades","FL","253","2","10","28","44","49","30","31","29","23","6","1","1 to 90","43","105","146","2","253","0","0","20","187","3","105","0","107","145","0","1","252","105","2","0","0","20","87","0","107","1","3","12","29","28","15","12","5","1","1","0","3 to 89","38","85","13","3","6","69","31","7","15","0","10","0","0","1","107","87","20","107","0","0","316","0","423","316","107","1","112","58","2551976411.00452","236757.936928168","61","06/11/2020"
"56","56","8","015","CHARLOTTE","Charlotte","FL","5435","60","49","242","450","523","741","1044","1044","731","545","6","0 to 119","61","3207","2157","71","5417","18","0","139","4938","62","513","22","515","4915","1","4","5412","369","144","1","1","312","201","0","513","4","5","16","51","31","54","94","80","80","100","0","0 to 101","65","421","53","11","28","27","446","40","99","1","130","1","0","72","515","202","313","513","2","0","7309","16","7843","7325","515","72","80","60","1825525431.11919","398247.923422686","68","06/11/2020"
"57","57","58","115","SARASOTA","Sarasota","FL","13065","152","169","652","1136","1192","1615","2425","2769","1976","937","42","0 to 119","61","7383","5507","175","12827","238","0","432","12249","190","938","93","716","12347","2","0","12825","634","59","17","6","398","295","0","693","4","7","37","70","80","78","104","119","121","95","1","0 to 104","62","547","55","45","46","68","541","84","196","13","169","10","1","89","716","309","407","693","23","0","23540","215","24476","23755","716","89","265","159","1509311882.53409","264158.506465067","64","06/11/2020"
"58","58","14","027","DESOTO","Desoto","FL","2296","48","77","177","308","309","410","467","272","153","70","5","0 to 102","50","908","1240","148","2286","10","0","20","1937","48","347","8","304","1983","0","9","2277","186","118","0","0","131","172","1","304","11","30","41","60","47","37","42","22","6","8","0","0 to 92","36","250","23","3","28","207","63","34","54","0","42","0","0","10","304","172","131","304","0","0","2779","10","3094","2789","304","10","365","244","1654926851.96404","168390.780925558","62","06/11/2020"
"59","59","18","035","FLAGLER","Flagler","FL","3851","42","38","185","365","449","545","767","764","480","210","6","0 to 119","59","2256","1543","52","3816","35","0","75","3679","37","185","37","201","3648","2","0","3814","169","27","5","0","116","80","0","196","0","4","13","23","24","33","49","36","16","3","0","5 to 94","55","118","31","39","8","24","162","10","33","3","23","2","1","4","201","82","119","196","5","0","6038","30","6275","6068","201","4","80","45","1294754947.55994","220559.838719988","56","06/11/2020"
